time,PriceElectricPowerConstant,PriceElectricPowerDynamic,PriceElectricPowerHighlyDynamic,PriceDistrictHeatingPower,PriceGasPower,PriceBiomassPower,PriceSolarThermalPower,PriceElectricHistorical
59400.0,0.2,0.05,0.06608,0.1,0.07,0.2,0.0,0.06608
60300.0,0.2,0.05,0.06573999999999999,0.1,0.07,0.2,0.0,0.0657399999999999
61200.0,0.2,0.05,0.06051,0.1,0.07,0.2,0.0,0.06051
62100.0,0.2,0.05,0.06033,0.1,0.07,0.2,0.0,0.06033
63000.0,0.2,0.05,0.05736,0.1,0.07,0.2,0.0,0.05736
63900.0,0.2,0.05,0.05382,0.1,0.07,0.2,0.0,0.05382
64800.0,0.2,0.05,0.06,0.1,0.07,0.2,0.0,0.06
65700.0,0.2,0.05,0.05411,0.1,0.07,0.2,0.0,0.05411
66600.0,0.2,0.05,0.055,0.1,0.07,0.2,0.0,0.055
67500.0,0.2,0.05,0.05459000000000001,0.1,0.07,0.2,0.0,0.05459
68400.0,0.2,0.05,0.05561,0.1,0.07,0.2,0.0,0.05561
69300.0,0.2,0.05,0.055060000000000005,0.1,0.07,0.2,0.0,0.05506
70200.0,0.2,0.05,0.053130000000000004,0.1,0.07,0.2,0.0,0.05313
71100.0,0.2,0.05,0.05183,0.1,0.07,0.2,0.0,0.05183
72000.0,0.2,0.05,0.05314,0.1,0.07,0.2,0.0,0.05314
72900.0,0.2,0.05,0.05178,0.1,0.07,0.2,0.0,0.05178
73800.0,0.2,0.05,0.04983,0.1,0.07,0.2,0.0,0.04983
74700.0,0.2,0.05,0.04776,0.1,0.07,0.2,0.0,0.04776
75600.0,0.2,0.05,0.048240000000000005,0.1,0.07,0.2,0.0,0.04824
76500.0,0.2,0.05,0.047380000000000005,0.1,0.07,0.2,0.0,0.04738
77400.0,0.2,0.05,0.04436,0.1,0.07,0.2,0.0,0.04436
78300.0,0.2,0.05,0.04162,0.1,0.07,0.2,0.0,0.04162
79200.0,0.2,0.05,0.0399,0.1,0.07,0.2,0.0,0.0399
80100.0,0.2,0.05,0.039439999999999996,0.1,0.07,0.2,0.0,0.0394399999999999
81000.0,0.2,0.05,0.039520000000000007,0.1,0.07,0.2,0.0,0.03952
81900.0,0.2,0.05,0.039799999999999995,0.1,0.07,0.2,0.0,0.0397999999999999
82800.0,0.2,0.05,0.048659999999999995,0.1,0.07,0.2,0.0,0.0486599999999999
83700.0,0.2,0.05,0.04834,0.1,0.07,0.2,0.0,0.04834
84600.0,0.2,0.05,0.04801,0.1,0.07,0.2,0.0,0.04801
85500.0,0.2,0.05,0.04481,0.1,0.07,0.2,0.0,0.04481
86400.0,0.2,0.05,0.045630000000000004,0.1,0.07,0.2,0.0,0.04563
87300.0,0.2,0.05,0.04468,0.1,0.07,0.2,0.0,0.04468
88200.0,0.2,0.05,0.04371,0.1,0.07,0.2,0.0,0.04371
89100.0,0.2,0.05,0.04319,0.1,0.07,0.2,0.0,0.04319
90000.0,0.2,0.05,0.04362,0.1,0.07,0.2,0.0,0.04362
90900.0,0.2,0.05,0.04314,0.1,0.07,0.2,0.0,0.04314
91800.0,0.2,0.05,0.04143,0.1,0.07,0.2,0.0,0.04143
92700.0,0.2,0.05,0.04089,0.1,0.07,0.2,0.0,0.04089
93600.0,0.2,0.05,0.039630000000000006,0.1,0.07,0.2,0.0,0.03963
94500.0,0.2,0.05,0.039380000000000005,0.1,0.07,0.2,0.0,0.03938
95400.0,0.2,0.05,0.03915999999999999,0.1,0.07,0.2,0.0,0.0391599999999999
96300.0,0.2,0.05,0.038990000000000004,0.1,0.07,0.2,0.0,0.03899
97200.0,0.2,0.05,0.039229999999999994,0.1,0.07,0.2,0.0,0.0392299999999999
98100.0,0.2,0.05,0.039200000000000006,0.1,0.07,0.2,0.0,0.0392
99000.0,0.2,0.05,0.0396,0.1,0.07,0.2,0.0,0.0396
99900.0,0.2,0.05,0.04093,0.1,0.07,0.2,0.0,0.04093
100800.0,0.2,0.05,0.03997,0.1,0.07,0.2,0.0,0.03997
101700.0,0.2,0.05,0.0427,0.1,0.07,0.2,0.0,0.0427
102600.0,0.2,0.05,0.043609999999999996,0.1,0.07,0.2,0.0,0.0436099999999999
103500.0,0.2,0.05,0.049530000000000005,0.1,0.07,0.2,0.0,0.04953
104400.0,0.2,0.05,0.04461,0.1,0.07,0.2,0.0,0.04461
105300.0,0.2,0.05,0.05085,0.1,0.07,0.2,0.0,0.05085
106200.0,0.2,0.05,0.05504,0.1,0.07,0.2,0.0,0.05504
107100.0,0.2,0.05,0.061079999999999995,0.1,0.07,0.2,0.0,0.0610799999999999
108000.0,0.2,0.05,0.05815,0.1,0.07,0.2,0.0,0.05815
108900.0,0.2,0.05,0.05969,0.1,0.07,0.2,0.0,0.05969
109800.0,0.2,0.05,0.06118,0.1,0.07,0.2,0.0,0.06118
110700.0,0.2,0.05,0.06203,0.1,0.07,0.2,0.0,0.06203
111600.0,0.2,0.05,0.061630000000000004,0.1,0.07,0.2,0.0,0.06163
112500.0,0.2,0.05,0.061799999999999994,0.1,0.07,0.2,0.0,0.0617999999999999
113400.0,0.2,0.05,0.060289999999999996,0.1,0.07,0.2,0.0,0.0602899999999999
114300.0,0.2,0.05,0.0599,0.1,0.07,0.2,0.0,0.0599
115200.0,0.2,1.0,0.05968,0.1,0.07,0.2,0.0,0.05968
116100.0,0.2,1.0,0.05999,0.1,0.07,0.2,0.0,0.05999
117000.0,0.2,1.0,0.05829,0.1,0.07,0.2,0.0,0.05829
117900.0,0.2,1.0,0.05849,0.1,0.07,0.2,0.0,0.05849
118800.0,0.2,1.0,0.05859,0.1,0.07,0.2,0.0,0.05859
119700.0,0.2,1.0,0.05835,0.1,0.07,0.2,0.0,0.05835
120600.0,0.2,1.0,0.05751,0.1,0.07,0.2,0.0,0.05751
121500.0,0.2,1.0,0.0565,0.1,0.07,0.2,0.0,0.0565
122400.0,0.2,1.0,0.056369999999999996,0.1,0.07,0.2,0.0,0.0563699999999999
123300.0,0.2,1.0,0.05686,0.1,0.07,0.2,0.0,0.05686
124200.0,0.2,1.0,0.05692,0.1,0.07,0.2,0.0,0.05692
125100.0,0.2,1.0,0.05802,0.1,0.07,0.2,0.0,0.05802
126000.0,0.2,1.0,0.06593,0.1,0.07,0.2,0.0,0.06593
126900.0,0.2,1.0,0.06558,0.1,0.07,0.2,0.0,0.06558
127800.0,0.2,1.0,0.06576,0.1,0.07,0.2,0.0,0.06576
128700.0,0.2,1.0,0.06627,0.1,0.07,0.2,0.0,0.06627
129600.0,0.2,1.0,0.059090000000000004,0.1,0.07,0.2,0.0,0.05909
130500.0,0.2,1.0,0.060520000000000004,0.1,0.07,0.2,0.0,0.06052
131400.0,0.2,1.0,0.060579999999999995,0.1,0.07,0.2,0.0,0.0605799999999999
132300.0,0.2,1.0,0.060840000000000005,0.1,0.07,0.2,0.0,0.06084
133200.0,0.2,1.0,0.06355,0.1,0.07,0.2,0.0,0.06355
134100.0,0.2,1.0,0.06092,0.1,0.07,0.2,0.0,0.06092
135000.0,0.2,1.0,0.06192,0.1,0.07,0.2,0.0,0.06192
135900.0,0.2,1.0,0.060270000000000004,0.1,0.07,0.2,0.0,0.06027
136800.0,0.2,1.0,0.06538,0.1,0.07,0.2,0.0,0.06538
137700.0,0.2,1.0,0.06287,0.1,0.07,0.2,0.0,0.06287
138600.0,0.2,1.0,0.06218,0.1,0.07,0.2,0.0,0.06218
139500.0,0.2,1.0,0.060520000000000004,0.1,0.07,0.2,0.0,0.06052
140400.0,0.2,1.0,0.06431999999999999,0.1,0.07,0.2,0.0,0.0643199999999999
141300.0,0.2,1.0,0.061759999999999995,0.1,0.07,0.2,0.0,0.0617599999999999
142200.0,0.2,1.0,0.06032,0.1,0.07,0.2,0.0,0.06032
143100.0,0.2,1.0,0.06299,0.1,0.07,0.2,0.0,0.06299
144000.0,0.2,1.0,0.06473000000000001,0.1,0.07,0.2,0.0,0.06473
144900.0,0.2,0.05,0.06487000000000001,0.1,0.07,0.2,0.0,0.06487
145800.0,0.2,0.05,0.06493,0.1,0.07,0.2,0.0,0.06493
146700.0,0.2,0.05,0.06639,0.1,0.07,0.2,0.0,0.06639
147600.0,0.2,0.05,0.06269,0.1,0.07,0.2,0.0,0.06269
148500.0,0.2,0.05,0.06367,0.1,0.07,0.2,0.0,0.06367
149400.0,0.2,0.05,0.06420000000000001,0.1,0.07,0.2,0.0,0.0642
150300.0,0.2,0.05,0.06452,0.1,0.07,0.2,0.0,0.06452
151200.0,0.2,0.05,0.06392,0.1,0.07,0.2,0.0,0.06392
152100.0,0.2,0.05,0.06415000000000001,0.1,0.07,0.2,0.0,0.06415
153000.0,0.2,0.05,0.062450000000000006,0.1,0.07,0.2,0.0,0.06245
153900.0,0.2,0.05,0.06153,0.1,0.07,0.2,0.0,0.06153
154800.0,0.2,0.05,0.062439999999999996,0.1,0.07,0.2,0.0,0.0624399999999999
155700.0,0.2,0.05,0.06443,0.1,0.07,0.2,0.0,0.06443
156600.0,0.2,0.05,0.0633,0.1,0.07,0.2,0.0,0.0633
157500.0,0.2,0.05,0.062369999999999995,0.1,0.07,0.2,0.0,0.0623699999999999
158400.0,0.2,0.05,0.06273,0.1,0.07,0.2,0.0,0.06273
159300.0,0.2,0.05,0.062259999999999996,0.1,0.07,0.2,0.0,0.0622599999999999
160200.0,0.2,0.05,0.06333,0.1,0.07,0.2,0.0,0.06333
