timestamp,NO3(EUR/MWh)
2026-01-01T00:00:00.000Z,70.51
2026-01-01T00:15:00.000Z,69.04
2026-01-01T00:30:00.000Z,67.98
2026-01-01T00:45:00.000Z,55.25
2026-01-01T01:00:00.000Z,64.31
2026-01-01T01:15:00.000Z,52.02
2026-01-01T01:30:00.000Z,47.59
2026-01-01T01:45:00.000Z,43.35
2026-01-01T02:00:00.000Z,44.17
2026-01-01T02:15:00.000Z,43.16
2026-01-01T02:30:00.000Z,39.90
2026-01-01T02:45:00.000Z,39.48
2026-01-01T03:00:00.000Z,39.48
2026-01-01T03:15:00.000Z,39.48
2026-01-01T03:30:00.000Z,38.72
2026-01-01T03:45:00.000Z,38.14
2026-01-01T04:00:00.000Z,38.26
2026-01-01T04:15:00.000Z,37.29
2026-01-01T04:30:00.000Z,37.93
2026-01-01T04:45:00.000Z,36.33
2026-01-01T05:00:00.000Z,36.20
2026-01-01T05:15:00.000Z,36.87
2026-01-01T05:30:00.000Z,38.22
2026-01-01T05:45:00.000Z,39.81
2026-01-01T06:00:00.000Z,37.86
2026-01-01T06:15:00.000Z,39.71
2026-01-01T06:30:00.000Z,40.74
2026-01-01T06:45:00.000Z,40.54
2026-01-01T07:00:00.000Z,42.59
2026-01-01T07:15:00.000Z,42.27
2026-01-01T07:30:00.000Z,40.49
2026-01-01T07:45:00.000Z,38.27
2026-01-01T08:00:00.000Z,39.66
2026-01-01T08:15:00.000Z,39.34
2026-01-01T08:30:00.000Z,38.73
2026-01-01T08:45:00.000Z,36.80
2026-01-01T09:00:00.000Z,40.18
2026-01-01T09:15:00.000Z,39.43
2026-01-01T09:30:00.000Z,38.42
2026-01-01T09:45:00.000Z,38.67
2026-01-01T10:00:00.000Z,39.65
2026-01-01T10:15:00.000Z,39.15
2026-01-01T10:30:00.000Z,39.21
2026-01-01T10:45:00.000Z,39.09
2026-01-01T11:00:00.000Z,39.90
2026-01-01T11:15:00.000Z,39.96
2026-01-01T11:30:00.000Z,40.23
2026-01-01T11:45:00.000Z,40.97
2026-01-01T12:00:00.000Z,41.15
2026-01-01T12:15:00.000Z,42.23
2026-01-01T12:30:00.000Z,42.26
2026-01-01T12:45:00.000Z,42.46
2026-01-01T13:00:00.000Z,43.27
2026-01-01T13:15:00.000Z,44.41
2026-01-01T13:30:00.000Z,44.99
2026-01-01T13:45:00.000Z,46.26
2026-01-01T14:00:00.000Z,45.53
2026-01-01T14:15:00.000Z,49.11
2026-01-01T14:30:00.000Z,51.94
2026-01-01T14:45:00.000Z,54.13
2026-01-01T15:00:00.000Z,53.55
2026-01-01T15:15:00.000Z,55.58
2026-01-01T15:30:00.000Z,57.82
2026-01-01T15:45:00.000Z,62.92
2026-01-01T16:00:00.000Z,60.89
2026-01-01T16:15:00.000Z,63.45
2026-01-01T16:30:00.000Z,66.08
2026-01-01T16:45:00.000Z,65.74
2026-01-01T17:00:00.000Z,60.51
2026-01-01T17:15:00.000Z,60.33
2026-01-01T17:30:00.000Z,57.36
2026-01-01T17:45:00.000Z,53.82
2026-01-01T18:00:00.000Z,60.00
2026-01-01T18:15:00.000Z,54.11
2026-01-01T18:30:00.000Z,55.00
2026-01-01T18:45:00.000Z,54.59
2026-01-01T19:00:00.000Z,55.61
2026-01-01T19:15:00.000Z,55.06
2026-01-01T19:30:00.000Z,53.13
2026-01-01T19:45:00.000Z,51.83
2026-01-01T20:00:00.000Z,53.14
2026-01-01T20:15:00.000Z,51.78
2026-01-01T20:30:00.000Z,49.83
2026-01-01T20:45:00.000Z,47.76
2026-01-01T21:00:00.000Z,48.24
2026-01-01T21:15:00.000Z,47.38
2026-01-01T21:30:00.000Z,44.36
2026-01-01T21:45:00.000Z,41.62
2026-01-01T22:00:00.000Z,39.90
2026-01-01T22:15:00.000Z,39.44
2026-01-01T22:30:00.000Z,39.52
2026-01-01T22:45:00.000Z,39.80
2026-01-01T23:00:00.000Z,48.66
2026-01-01T23:15:00.000Z,48.34
2026-01-01T23:30:00.000Z,48.01
2026-01-01T23:45:00.000Z,44.81
2026-01-02T00:00:00.000Z,45.63
2026-01-02T00:15:00.000Z,44.68
2026-01-02T00:30:00.000Z,43.71
2026-01-02T00:45:00.000Z,43.19
2026-01-02T01:00:00.000Z,43.62
2026-01-02T01:15:00.000Z,43.14
2026-01-02T01:30:00.000Z,41.43
2026-01-02T01:45:00.000Z,40.89
2026-01-02T02:00:00.000Z,39.63
2026-01-02T02:15:00.000Z,39.38
2026-01-02T02:30:00.000Z,39.16
2026-01-02T02:45:00.000Z,38.99
2026-01-02T03:00:00.000Z,39.23
2026-01-02T03:15:00.000Z,39.20
2026-01-02T03:30:00.000Z,39.60
2026-01-02T03:45:00.000Z,40.93
2026-01-02T04:00:00.000Z,39.97
2026-01-02T04:15:00.000Z,42.70
2026-01-02T04:30:00.000Z,43.61
2026-01-02T04:45:00.000Z,49.53
2026-01-02T05:00:00.000Z,44.61
2026-01-02T05:15:00.000Z,50.85
2026-01-02T05:30:00.000Z,55.04
2026-01-02T05:45:00.000Z,61.08
2026-01-02T06:00:00.000Z,58.15
2026-01-02T06:15:00.000Z,59.69
2026-01-02T06:30:00.000Z,61.18
2026-01-02T06:45:00.000Z,62.03
2026-01-02T07:00:00.000Z,61.63
2026-01-02T07:15:00.000Z,61.80
2026-01-02T07:30:00.000Z,60.29
2026-01-02T07:45:00.000Z,59.90
2026-01-02T08:00:00.000Z,59.68
2026-01-02T08:15:00.000Z,59.99
2026-01-02T08:30:00.000Z,58.29
2026-01-02T08:45:00.000Z,58.49
2026-01-02T09:00:00.000Z,58.59
2026-01-02T09:15:00.000Z,58.35
2026-01-02T09:30:00.000Z,57.51
2026-01-02T09:45:00.000Z,56.50
2026-01-02T10:00:00.000Z,56.37
2026-01-02T10:15:00.000Z,56.86
2026-01-02T10:30:00.000Z,56.92
2026-01-02T10:45:00.000Z,58.02
2026-01-02T11:00:00.000Z,65.93
2026-01-02T11:15:00.000Z,65.58
2026-01-02T11:30:00.000Z,65.76
2026-01-02T11:45:00.000Z,66.27
2026-01-02T12:00:00.000Z,59.09
2026-01-02T12:15:00.000Z,60.52
2026-01-02T12:30:00.000Z,60.58
2026-01-02T12:45:00.000Z,60.84
2026-01-02T13:00:00.000Z,63.55
2026-01-02T13:15:00.000Z,60.92
2026-01-02T13:30:00.000Z,61.92
2026-01-02T13:45:00.000Z,60.27
2026-01-02T14:00:00.000Z,65.38
2026-01-02T14:15:00.000Z,62.87
2026-01-02T14:30:00.000Z,62.18
2026-01-02T14:45:00.000Z,60.52
2026-01-02T15:00:00.000Z,64.32
2026-01-02T15:15:00.000Z,61.76
2026-01-02T15:30:00.000Z,60.32
2026-01-02T15:45:00.000Z,62.99
2026-01-02T16:00:00.000Z,64.73
2026-01-02T16:15:00.000Z,64.87
2026-01-02T16:30:00.000Z,64.93
2026-01-02T16:45:00.000Z,66.39
2026-01-02T17:00:00.000Z,62.69
2026-01-02T17:15:00.000Z,63.67
2026-01-02T17:30:00.000Z,64.20
2026-01-02T17:45:00.000Z,64.52
2026-01-02T18:00:00.000Z,63.92
2026-01-02T18:15:00.000Z,64.15
2026-01-02T18:30:00.000Z,62.45
2026-01-02T18:45:00.000Z,61.53
2026-01-02T19:00:00.000Z,62.44
2026-01-02T19:15:00.000Z,64.43
2026-01-02T19:30:00.000Z,63.30
2026-01-02T19:45:00.000Z,62.37
2026-01-02T20:00:00.000Z,62.73
2026-01-02T20:15:00.000Z,62.26
2026-01-02T20:30:00.000Z,63.33
2026-01-02T20:45:00.000Z,67.57
2026-01-02T21:00:00.000Z,72.53
2026-01-02T21:15:00.000Z,77.05
2026-01-02T21:30:00.000Z,76.08
2026-01-02T21:45:00.000Z,75.84
2026-01-02T22:00:00.000Z,86.53
2026-01-02T22:15:00.000Z,86.06
2026-01-02T22:30:00.000Z,86.26
2026-01-02T22:45:00.000Z,75.01
2026-01-02T23:00:00.000Z,86.86
2026-01-02T23:15:00.000Z,85.53
2026-01-02T23:30:00.000Z,83.81
2026-01-02T23:45:00.000Z,82.90
2026-01-03T00:00:00.000Z,84.19
2026-01-03T00:15:00.000Z,83.18
2026-01-03T00:30:00.000Z,83.09
2026-01-03T00:45:00.000Z,82.98
2026-01-03T01:00:00.000Z,83.31
2026-01-03T01:15:00.000Z,82.75
2026-01-03T01:30:00.000Z,82.12
2026-01-03T01:45:00.000Z,81.93
2026-01-03T02:00:00.000Z,78.16
2026-01-03T02:15:00.000Z,79.28
2026-01-03T02:30:00.000Z,81.42
2026-01-03T02:45:00.000Z,80.81
2026-01-03T03:00:00.000Z,70.83
2026-01-03T03:15:00.000Z,73.58
2026-01-03T03:30:00.000Z,73.83
2026-01-03T03:45:00.000Z,73.26
2026-01-03T04:00:00.000Z,72.90
2026-01-03T04:15:00.000Z,73.63
2026-01-03T04:30:00.000Z,75.30
2026-01-03T04:45:00.000Z,75.73
2026-01-03T05:00:00.000Z,78.73
2026-01-03T05:15:00.000Z,80.09
2026-01-03T05:30:00.000Z,81.57
2026-01-03T05:45:00.000Z,83.16
2026-01-03T06:00:00.000Z,83.50
2026-01-03T06:15:00.000Z,81.70
2026-01-03T06:30:00.000Z,83.52
2026-01-03T06:45:00.000Z,85.43
2026-01-03T07:00:00.000Z,90.81
2026-01-03T07:15:00.000Z,91.38
2026-01-03T07:30:00.000Z,91.83
2026-01-03T07:45:00.000Z,92.07
2026-01-03T08:00:00.000Z,95.05
2026-01-03T08:15:00.000Z,87.06
2026-01-03T08:30:00.000Z,82.90
2026-01-03T08:45:00.000Z,86.62
2026-01-03T09:00:00.000Z,83.22
2026-01-03T09:15:00.000Z,81.25
2026-01-03T09:30:00.000Z,79.59
2026-01-03T09:45:00.000Z,81.54
2026-01-03T10:00:00.000Z,83.75
2026-01-03T10:15:00.000Z,81.24
2026-01-03T10:30:00.000Z,78.91
2026-01-03T10:45:00.000Z,83.36
2026-01-03T11:00:00.000Z,77.85
2026-01-03T11:15:00.000Z,78.57
2026-01-03T11:30:00.000Z,83.60
2026-01-03T11:45:00.000Z,84.86
2026-01-03T12:00:00.000Z,76.42
2026-01-03T12:15:00.000Z,78.00
2026-01-03T12:30:00.000Z,81.86
2026-01-03T12:45:00.000Z,86.23
2026-01-03T13:00:00.000Z,79.93
2026-01-03T13:15:00.000Z,79.05
2026-01-03T13:30:00.000Z,83.78
2026-01-03T13:45:00.000Z,91.83
2026-01-03T14:00:00.000Z,79.19
2026-01-03T14:15:00.000Z,81.61
2026-01-03T14:30:00.000Z,88.38
2026-01-03T14:45:00.000Z,92.98
2026-01-03T15:00:00.000Z,82.20
2026-01-03T15:15:00.000Z,85.89
2026-01-03T15:30:00.000Z,88.95
2026-01-03T15:45:00.000Z,98.55
2026-01-03T16:00:00.000Z,89.61
2026-01-03T16:15:00.000Z,92.71
2026-01-03T16:30:00.000Z,95.65
2026-01-03T16:45:00.000Z,102.22
2026-01-03T17:00:00.000Z,94.08
2026-01-03T17:15:00.000Z,94.43
2026-01-03T17:30:00.000Z,96.09
2026-01-03T17:45:00.000Z,100.21
2026-01-03T18:00:00.000Z,97.40
2026-01-03T18:15:00.000Z,99.53
2026-01-03T18:30:00.000Z,91.90
